,title,album,artist,time,stars,played,deleted,id
654,L&#39;heure avait sonné,Sur mes gardes,Joyce Jonathan,217937,4,26,,
1226,World Spins Madly On,Scrubs s5,The Weepies,173000,4,25,,0bAM9qivrntXnHyklRRx39
1205,When You Believe,Prince d&#39; Egypte,Walt Disney,273734,4,25,,0JN7vUgUolHGHFrOR8xk7S
681,Mc Hush.mp3,,H-man,289000,4,25,,
1212,Who I Am -Smile Empty Soul,Spider-Man 2,Smile Empty Soul,194885,4,24,,
1223,Wonderful World,compile gg,Sam Cooke,129172,4,24,,7vCEPLGrLHqBHyRPPsweYY
53,and the beat goes on - the whispers.MP3,,,271000,4,24,,
580,Le piège,Sur mes gardes,Joyce Jonathan,185755,4,24,,4RykwNDSsnHi93S2c5q179
276,Du Rhum Des Femmes,compile Alice,Soldat Louis,179955,4,23,,2NshBYcvc4uYYsBj4vHZfh
678,Matrix,,moby,289250,4,23,,1985nAkGJf1oOrgHCWftoN
435,Hit the road jack,B.O Ray,Ray Charles,120000,4,23,,5yQFVCQkupKqTJecbXA7qT
1213, Whole Lotta Love,Led Zeppelin 2,Led Zeppelin,334000,4,22,,0hCB0YR03f6AmQaHbwWDe8
574,Le Diner,Reprise des Négociations,Bénabar,180765,4,22,,6V7g6qM8wheMivMWrzbPTM
7,100 Years,The Battle for Everything,Five for Fighting,244608,4,21,,2lFlveK1y13WWp3vnQtrr3
645,Love To Love You Baby (Intro Mix),Love To Love You Baby Vinyl,David Vendetta Vs Donna Summer,315000,4,21,,
1128,Tricky Tricky (Cust Rmx),,Röyksopp,270000,4,19,,
671,Marie,compile Alice,Chanson versaillaise,216154,4,19,,6yFIzIxyTVRfVeSTTvtEBt
623,Loin Devant,Double Tour Cd2,Francis Cabrel,380888,4,19,,76x52Swha7P5eKqPj7tVxW
274,Drunk,+,Ed Sheeran,199183,0,18,,1G4cdOtF36ZCs6i2dZoC87
704,Mon ange,RTL - Studio 22,Nolwenn Leroy,259000,4,18,,1AM1o0mKbgAK5oMpY8B3Z7
428,Hey Joe,Flower Power,Jimi Hendrix,244250,4,18,,0NWPxcsf5vdjdiFUI8NgkP
459,I Hear You Knocking,Scrubs s5,Dave Edmunds,167809,4,17,,2HMWCdOn8xL2M8WwPxHTQ1
462,I Love Rock&#39;N&#39;Roll,Dancefloor FG Winter 2009,Alex Gaudino &amp; Jason Rooney,194192,0,17,,
805,Petite Marie,compile Alice,Francis Cabrel,296252,4,17,,5m4Ck5onFtmtNRndWUHR4A
374,Generique,The Essential Miles Davis [Disc 1],Miles Davis,170656,0,16,,3I1LsXYKMeWbdgJgADH8yY
1014,substitute,Live at Zaragoza 2006,The Who,186177,4,16,,1TFjaQJBuFRFBjBpmKXQwA
826,Piste 20,Album inconnu (26/05/2006 20:28:39),,206123,4,16,,6a3hO4g1j1ClurDUCgYy1t
359,Fountain Of Youth,At The Foot Of My Rival,The New Amsterdams,177761,4,16,,46exzPPGwXU9Xcoz5u618b
847,Plus d&#39;Importance,Un Homme Sans Racines,Gérald De Palmas,247037,4,16,,
541,Kodachrome/Maybellene,The Concert In Central Park,Simon &amp; Garfunkel,346557,4,16,,1f4CJp5p2OWS0dsyK1symi
1046,The A Team,+,Ed Sheeran,261067,0,16,,1VdZ0vKfR5jneCmWIUAMxK
62,April Come She Will,The Concert In Central Park,Simon &amp; Garfunkel,142849,4,15,,0djZ2ndRfAL69WYNra5jRC
375,Genesis,Cross,Justice,236000,0,15,,4sCYKMatyhazyy6r2N7Hp2
753,Now&#39;s The Time,The Essential Miles Davis [Disc 1],Miles Davis,197275,0,14,,
25,Abbesses,Birdy Nam Nam,Birdy Nam Nam,372581,4,14,,0n1aJG9YhECrxHuZh9ltzG
897,Remember,,Enzo Mori And Stephan Clark,225000,4,14,,630Ug0XtmhhFvAKo0PNuEI
950,She says,Scrubs Season 2,Howie Day,273000,4,14,,6LQxv30jh0lCISHsPYwqoy
919,Rosie,Double Tour Cd3,Francis Cabrel,246593,4,14,,5KsLlcmWDoHUoJFzRw14wD
973,Slipped Away,Under My Skin,Avril Lavigne,213993,3,14,,5AZhrTm9YUCOiA3Vl2hQji
280,Dvno,Cross,Justice,236472,4,13,,7pdDBqpilpdW7c40DpFMW9
901,Requiem for a Dream Remix,,Two Towers Trailer Music,246000,4,13,,3iUXpCRXzCmwchiq5kvMDm
345,Flowers on the wall,compile gg,The Statler Brothers,149420,4,13,,7ledv9CTjqdwnvHgRmETyZ
618,Little Remedy,Smile...It Confuses People,Sandi Thom,173216,4,12,,5mP26QsvvE6akXSQeio6y3
1202,When Horsepower Meant What It Said,Smile...It Confuses People,Sandi Thom,184318,4,12,,2zW8l7maYN01SDfcjeGlcR
154,Catalyst,Wreck Of The Day,Anna Nalick,219139,0,11,,4tXBsD5sEzxlJjWCOz6qzs
181,Closer to Me,Helios,The Fray,167495,0,11,,5rpsPRrDMye3e2KYNSuS6B
993,South,Changes,A Cursive Memory,230000,3,11,,4vUmTMuQqjdnvlZmAH61Qk
737,New Rhumba,The Essential Miles Davis [Disc 1],Miles Davis,275171,0,11,,0r3gOvikeZmqRwOiPqfbUq
1039,Television Rules The Nation / Crescendolls,Alive 2007: Deluxe Edition,Daft Punk,291000,0,10,,1E8S3CSv20KrKT0C1yAjkO
116,Bonfire Heart,Bonfire Heart EP,James Blunt,237000,0,9,,2kvyMNHyxQt2UJ5EKvxaOC
1006,Still Here,Feed The Animals,Girl Talk,237000,3,8,,4YJmZfvlheSziXem8HBWrj
182,Cloud Nine,The Open Door,Evanescence,262188,0,8,,6nmOdKdvZvON9oPtFrfGV3
522,Just A Little Bit (Spencer &amp; Hill Airplay Mix),K-Boom Hits  Vol.190,Claudia &amp; Fatman Scoop,327337,0,8,,
15,A La Faveur De L&#39;Automne,A La Faveur De L&#39;Automne / Le Sacre Des Lemmings Et Autres Contes De La Lisière,Tété,223710,3,8,,
621,Living In The Moment,Love Is A Four Letter Word,Jason Mraz,235000,0,8,,3ce7k1L4EkZppZPz1EJWTS
384,Give It Away,Helios,The Fray,201428,0,8,,0uppYCG86ajpV2hSR3dJJ0
916,Rolling In The Deep,monday_playlist,ADELE,230060,0,8,,1CkvWZme3pRgbzaxZnTl5X
1090,The Woman I Love,Love Is A Four Letter Word,Jason Mraz,190000,0,8,,0AYG9AcwqEeqgAw3OvshPC
1215,Winter,First between 3rd and 4th,Joshua Radin,209000,3,8,,4V3VshJLUTCIWa77YiAkvM
694,Miles Runs The Voodoo Down,The Essential Miles Davis [Disc 2],Miles Davis,844000,0,7,,0n8sBhOtUb6pDFKjpxfakj
257,Don&#39;t Cha (Feat. Busta Rhymes) - Clean,TBD,The Pussycat Dolls,218146,0,7,,
772,Only When I Sleep,Corrs Unplugged [UK],The Corrs,276781,4,7,,36DztiNpSIH5ZHTwmqthHW
58,Anything But The Truth,To The Sea,Jack Johnson,173791,0,6,,1tm0ed6Bh8lDkcszWu6YrJ
451,Hungry eyes,Dirty Dancing,Eric Carmen,248265,0,6,,31H6au3jhblhr6MMJiXnCq
1000,Star Mile,The Last Kiss,Joshua Radin,241447,3,6,,5VaJ9leHPd2aDgvrGBMD39
30,Aerodynamic,Discovery,Daft Punk,214000,0,6,,3H3cOQ6LBLSvmcaV7QkZEu
1139,Turn Your Love,To The Sea,Jack Johnson,192311,0,6,,6a899bXlCuViXW2Qs8Rdqo
250,Do you love me,Dirty Dancing,,170760,0,6,,5MbNAHqNksNDycMZ0WUaO5
350,Fool,Move By Yourself,Donavon Frankenreiter,362001,0,5,,7asyVbwQE7IbA3x2be7bdI
